"Időbélyeg","Melyik kurzusra fog járni?","Mire asszociál, ha a (matematikai) statisztika kifejezést meghallja? (Adja meg azt a három szót, ami erről először eszébe jut!)","Hogyan értékeli saját matematika tudását? Válaszát adja meg egy 1-től 10-ig terjedő skálán, ahol 1 a leggyengébb (""Valahogy mindig meg lett a kettes, amikor kellett.""), a 10-es pedig a legjobb (""Penge vagyok!"") szint.","Érettségizett matematikából?","Mely tárgyakat végezte el vagy végzi ebben a félévben az alábbiak közül? [Statisztika 1. előadás]","Mely tárgyakat végezte el vagy végzi ebben a félévben az alábbiak közül? [Bevezetés a kvantitatív társadalomkutatásba]","Mely tárgyakat végezte el vagy végzi ebben a félévben az alábbiak közül? [Kérdőívszerkesztés]","Mely tárgyakat végezte el vagy végzi ebben a félévben az alábbiak közül? [Számítógépes adatelemzés]","Milyen eredménnyel lenne elégedett Statisztika 1. szemináriumból?","Két óra között elsősorban e-mailben fogjuk tartani a kapcsolatot. Ehhez a Neptun rendszerben megadott e-mail címét szeretné használni? Ha nem, kérem, írja meg nekem a preferált e-mail címét a morauszki.andras@gmail.com címre!","Az órán tanultak gyakorlására feladatsorokat és egyéb segédanyagokat tervezek megosztani Önökkel. Az alábbiak közül melyik mód felelne meg Önnek? (Többet is jelölhet)","A megosztott anyagokat milyen eszközön fogja várhatóan megnyitni? (Több választ is jelölhet)","Ha van esetleg bármi fontos információ, kérés, amit a félév előtt szeretne megosztani velem névtelenül, azt itt is megteheti."
"2022/02/09 1:02:16 du. CET","14:30","adatelemzés, kimutatás, grafikon","6","Igen, középszinten","Most végzem","Most végzem","Még nem végeztem el, és nem is most végzem","Most végzem","Csak 5-össel lennék elégedett","Igen","Dropbox/Drive/más felhőbe feltöltve, megosztási linkkel;Microsoft Teams-be feltöltve","Számítógép/laptop;Okostelefon",
"2022/02/09 1:05:48 du. CET","14:30",,"2","Igen, középszinten","Most végzem","Még nem végeztem el, és nem is most végzem","Még nem végeztem el, és nem is most végzem","Most végzem","Legalább 3-as","Igen","E-mailben körbeküldve;Microsoft Teams-be feltöltve","Számítógép/laptop;Okostelefon",
"2022/02/09 1:07:08 du. CET","14:30",,"5","Igen, középszinten","Most végzem","Elvégeztem","Most végzem","Most végzem","Legalább 3-as","Igen","E-mailben körbeküldve;Microsoft Teams-be feltöltve","Számítógép/laptop;Okostelefon",
"2022/02/09 1:09:15 du. CET","16:15","adatok, százalékok, elemzés","3","Igen, középszinten","Most végzem","Elvégeztem","Most végzem","Most végzem","Legalább 3-as","Igen","Dropbox/Drive/más felhőbe feltöltve, megosztási linkkel;E-mailben körbeküldve;Microsoft Teams-be feltöltve;Weboldalra feltöltve","Számítógép/laptop;Okostelefon",
"2022/02/09 1:11:12 du. CET","12:30","Átlag, összefüggések, képletek","8","Igen, középszinten","Most végzem","Elvégeztem","Most végzem","Most végzem","Csak 5-össel lennék elégedett","Igen","Dropbox/Drive/más felhőbe feltöltve, megosztási linkkel;E-mailben körbeküldve;Microsoft Teams-be feltöltve","Számítógép/laptop;Okostelefon",
"2022/02/09 1:11:28 du. CET","14:30","Nehéz, kihívás, félelmetes","6","Igen, középszinten","Most végzem","Elvégeztem","Most végzem","Most végzem","Legalább 4-es","Igen","E-mailben körbeküldve","Számítógép/laptop",
"2022/02/09 1:11:35 du. CET","16:15","iskolai matematikaórák, bonyolult, függvénytáblázat ","4","Igen, középszinten","Most végzem","Elvégeztem","Most végzem","Most végzem","Legalább 3-as","Igen","Dropbox/Drive/más felhőbe feltöltve, megosztási linkkel;E-mailben körbeküldve;Microsoft Teams-be feltöltve","Számítógép/laptop;Okostelefon",
"2022/02/09 1:29:20 du. CET","14:30",,"6","Igen, középszinten","Most végzem","Még nem végeztem el, és nem is most végzem","Még nem végeztem el, és nem is most végzem","Most végzem","Legalább 3-as","Igen","Dropbox/Drive/más felhőbe feltöltve, megosztási linkkel;Microsoft Teams-be feltöltve","Számítógép/laptop;Okostelefon",
"2022/02/09 1:46:17 du. CET","16:15","Viszonyszámok, skálázás, átlagszámítás","7","Igen, emelt szinten","Most végzem","Elvégeztem","Most végzem","Most végzem","Csak 5-össel lennék elégedett","Igen","E-mailben körbeküldve;Microsoft Teams-be feltöltve","Számítógép/laptop;Okostelefon",
"2022/02/09 1:46:47 du. CET","16:15","kutatás, adat, szignifikancia","8","Igen, középszinten","Most végzem","Elvégeztem","Most végzem","Most végzem","Legalább 4-es","Igen","Dropbox/Drive/más felhőbe feltöltve, megosztási linkkel;E-mailben körbeküldve;Microsoft Teams-be feltöltve","Számítógép/laptop",
